;Name;InChI;smiles;rt;RT
13;Omeprazole;InChI=1S/C17H19N3O3S/c1-10-8-18-15(11(2)16(10)23-4)9-24(21)17-19-13-6-5-12(22-3)7-14(13)20-17/h5-8H,9H2,1-4H3,(H,19,20);COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1;663.9;7.14
14;Oxfendazole;InChI=1S/C15H13N3O3S/c1-21-15(19)18-14-16-12-8-7-11(9-13(12)17-14)22(20)10-5-3-2-4-6-10/h2-9H,1H3,(H2,16,17,18,19);COC(O)=Nc1nc2ccc(S(=O)c3ccccc3)cc2[nH]1;657.8;7.31
15;Paroxetine;InChI=1S/C19H20FNO3/c20-15-3-1-13(2-4-15)17-7-8-21-10-14(17)11-22-16-5-6-18-19(9-16)24-12-23-18/h1-6,9,14,17,21H,7-8,10-12H2;Fc1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1;778.5;9.22
16;Penicillin G;InChI=1S/C16H18N2O4S/c1-16(2)12(15(21)22)18-13(20)11(14(18)23-16)17-10(19)8-9-6-4-3-5-7-9/h3-7,11-12,14H,8H2,1-2H3,(H,17,19)(H,21,22);CC1(C)SC2C(N=C(O)Cc3ccccc3)C(=O)N2C1C(=O)O;732.4;8.55
17;Reserpine;InChI=1S/C33H40N2O9/c1-38-19-7-8-20-21-9-10-35-16-18-13-27(44-32(36)17-11-25(39-2)30(41-4)26(12-17)40-3)31(42-5)28(33(37)43-6)22(18)15-24(35)29(21)34-23(20)14-19/h7-8,11-12,14,18,22,24,27-28,31,34H,9-10,13,15-16H2,1-6H3;COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC;913.0;8.76
18;Sulfamerazine;InChI=1S/C11H12N4O2S/c1-8-6-7-13-11(14-8)15-18(16,17)10-4-2-9(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15);Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1;652.2;2.75
19;Sulfameter;InChI=1S/C11H12N4O3S/c1-18-9-6-13-11(14-7-9)15-19(16,17)10-4-2-8(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15);COc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1;674.9;3.2
20;Sulfamethoxypyridazine;InChI=1S/C11H12N4O3S/c1-18-11-7-6-10(13-14-11)15-19(16,17)9-4-2-8(12)3-5-9/h2-7H,12H2,1H3,(H,13,15);COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1;572.5;3.65
21;Tetramisole;InChI=1S/C11H12N2S/c1-2-4-9(5-3-1)10-8-13-6-7-14-11(13)12-10/h1-5,10H,6-8H2;c1ccc(C2CN3CCSC3=N2)cc1;618.3;12.87
22;Tolfenamic acid;InChI=1S/C14H12ClNO2/c1-9-11(15)6-4-8-12(9)16-13-7-3-2-5-10(13)14(17)18/h2-8,16H,1H3,(H,17,18);Cc1c(Cl)cccc1Nc1ccccc1C(=O)O;1055.2;11.0
23;Triflupromazine;InChI=1S/C18H19F3N2S/c1-22(2)10-5-11-23-14-6-3-4-7-16(14)24-17-9-8-13(12-15(17)23)18(19,20)21/h3-4,6-9,12H,5,10-11H2,1-2H3;CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21;884.6;10.56
24;Tulobuterol;InChI=1S/C12H18ClNO/c1-12(2,3)14-8-11(15)9-6-4-5-7-10(9)13/h4-7,11,14-15H,8H2,1-3H3;CC(C)(C)NCC(O)c1ccccc1Cl;649.5;5.6
25;Xylazine;InChI=1S/C12H16N2S/c1-9-5-3-6-10(2)11(9)14-12-13-7-4-8-15-12/h3,5-6H,4,7-8H2,1-2H3,(H,13,14);Cc1cccc(C)c1NC1=NCCCS1;635.3;4.92
26;Zeranol (Alfa Zearalanol. a-ZAL);InChI=1S/C18H26O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h10-12,14,19-21H,2-9H2,1H3;CC1CCCC(O)CCCCCc2cc(O)cc(O)c2C(=O)O1;861.5;10.7
27;Florfenicol;InChI=1S/C12H14Cl2FNO4S/c1-21(19,20)8-4-2-7(3-5-8)10(17)9(6-15)16-12(18)11(13)14/h2-5,9-11,17H,6H2,1H3,(H,16,18);CS(=O)(=O)c1ccc(C(O)C(CF)N=C(O)C(Cl)Cl)cc1;723.1;4.73
28;Flumequine;InChI=1S/C14H12FNO3/c1-7-2-3-8-4-9(15)5-10-12(8)16(7)6-11(13(10)17)14(18)19/h4-7H,2-3H2,1H3,(H,18,19);CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23;806.4;7.49
29;Ketoprofen;InChI=1S/C16H14O3/c1-11(16(18)19)13-8-5-9-14(10-13)15(17)12-6-3-2-4-7-12/h2-11H,1H3,(H,18,19);CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1;866.1;10.31
30;Lincomycin;InChI=1S/C18H34N2O6S/c1-5-6-10-7-11(20(3)8-10)17(25)19-12(9(2)21)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,21-24H,5-8H2,1-4H3,(H,19,25);CCCC1CC(C(O)=NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1;595.0;3.56
32;Mabuterol;InChI=1S/C13H18ClF3N2O/c1-12(2,3)19-6-10(20)7-4-8(13(15,16)17)11(18)9(14)5-7/h4-5,10,19-20H,6,18H2,1-3H3;CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1;707.8;6.05
33;Ibuprofen;InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15);CC(C)Cc1ccc(C(C)C(=O)O)cc1;1043.0;12.36
